Materail,Hi Carbon,,,,,,
,,,,,,,
Tool diameter,S,F,Cutting speed,Feed speed per tooth,Cycle,Q,Number of tooth
9.6,450,55,13.572 ,0.061,G83,2,2
9.7,450,55,13.713 ,0.061,G83,2,2
9.8,450,55,13.854 ,0.061,G83,2,2
9.9,450,55,13.996 ,0.061,G83,2,2
10,400,54,12.566 ,0.068,G83,2,2
10.1,400,54,12.692 ,0.068,G83,2,2
10.2,400,54,12.818 ,0.068,G83,2,2
10.3,400,54,12.943 ,0.068,G83,2,2
10.4,400,54,13.069 ,0.068,G83,2,2
10.5,400,52,13.195 ,0.065,G83,2,2
10.6,400,52,13.320 ,0.065,G83,2,2
10.7,400,52,13.446 ,0.065,G83,2,2
10.8,400,52,13.572 ,0.065,G83,2,2
10.9,400,52,13.697 ,0.065,G83,2,2
11,350,51,12.095 ,0.073,G83,2,2
11.1,350,51,12.205 ,0.073,G83,2,2
11.2,350,51,12.315 ,0.073,G83,2,2
11.3,350,51,12.425 ,0.073,G83,2,2
11.4,350,51,12.535 ,0.073,G83,2,2
11.5,350,49,12.645 ,0.07,G83,2,2
11.6,350,49,12.755 ,0.07,G83,2,2
11.7,350,49,12.865 ,0.07,G83,2,2
11.8,350,49,12.975 ,0.07,G83,2,2
11.9,350,49,13.085 ,0.07,G83,2,2
12,330,48,12.441 ,0.073,G83,2,2
12.1,330,48,12.544 ,0.073,G83,2,2
12.2,330,48,12.648 ,0.073,G83,2,2
12.3,330,48,12.752 ,0.073,G83,2,2
12.4,330,47,12.855 ,0.071,G83,2,2
12.5,330,47,12.959 ,0.071,G83,2,2
12.6,330,47,13.063 ,0.071,G83,2,2
12.7,330,47,13.166 ,0.071,G83,2,2
12.8,330,47,13.270 ,0.071,G83,2,2
12.9,330,47,13.374 ,0.071,G83,2,2
13,300,46,12.252 ,0.077,G83,2,2
13.5,300,46,12.723 ,0.077,G83,2,2
14,300,46,13.195 ,0.077,G83,2,2
14.8,300,45,13.949 ,0.075,G83,2,2
15,280,45,13.195 ,0.08,G83,2,2
15.5,280,43,13.635 ,0.077,G83,2,2
15.8,280,43,13.898 ,0.077,G83,2,2
16,260,43,13.069 ,0.083,G83,2,2
16.5,260,42,13.477 ,0.081,G83,2,2
17,260,42,13.886 ,0.081,G83,2,2
17.5,260,42,14.294 ,0.081,G83,2,2
18,240,42,13.572 ,0.088,G83,2,2
18.5,240,40,13.949 ,0.083,G83,2,2
19,240,40,14.326 ,0.083,G83,2,2
19.3,240,40,14.552 ,0.083,G83,2,2
19.5,240,39,14.703 ,0.081,G83,2,2
19.8,240,39,14.929 ,0.081,G83,2,2
20,220,39,13.823 ,0.089,G83,2,2
20.5,220,39,14.169 ,0.089,G83,2,2
21,220,39,14.514 ,0.089,G83,2,2
21.5,220,39,14.860 ,0.089,G83,2,2
22,220,37,15.205 ,0.084,G83,2,2
22.5,220,37,15.551 ,0.084,G83,2,2
23,200,37,14.451 ,0.093,G83,2,2
23.5,200,37,14.765 ,0.093,G83,2,2
24,200,37,15.080 ,0.093,G83,2,2
24.5,200,36,15.394 ,0.09,G83,2,2
25,200,36,15.708 ,0.09,G83,2,2
25.5,200,34,16.022 ,0.085,G83,2,2
26,190,34,15.519 ,0.089,G83,2,2
26.5,190,34,15.818 ,0.089,G83,2,2
27,190,34,16.116 ,0.089,G83,2,2
28,190,34,16.713 ,0.089,G83,2,2
28.5,190,33,17.012 ,0.087,G83,2,2
29,180,33,16.399 ,0.092,G83,2,2
30,180,33,16.965 ,0.092,G83,3,2
31,180,33,17.530 ,0.092,G83,3,2
31.5,160,33,15.834 ,0.103,G83,3,2
32,160,33,16.085 ,0.103,G83,3,2
32.5,160,21,16.336 ,0.066,G83,3,2
33,140,21,14.514 ,0.075,G83,3,2
33.5,140,21,14.734 ,0.075,G83,3,2
34,140,21,14.954 ,0.075,G83,3,2
35,120,21,13.195 ,0.088,G83,3,2
36,120,21,13.572 ,0.088,G83,3,2
38,120,20,14.326 ,0.083,G83,3,2
40,100,19,12.566 ,0.095,G83,3,2
42,80,19,10.556 ,0.119,G83,3,2
43.7,80,18,10.983 ,0.113,G83,3,2
45,80,18,11.310 ,0.113,G83,3,2
48,80,17,12.064 ,0.106,G83,3,2
50,80,16,12.566 ,0.1,G83,3,2
,,,,,,,
